SOURCE_ID,dist05,dist16,dist50,dist84,dist95,av05,av16,av50,av84,av95,mass16,mass50,mass84,teff16,teff50,teff84,logg16,logg50,logg84,fidelity,sh_photoflag,sh_outflag
138832412662136704,2.8838422,3.0452194,3.57146,5.4685173,6.4832864,0.46272382,0.64521503,0.72353125,0.8052222,1.0677767,0.6949402,0.7578542,0.91017693,5854.766,5952.8765,6182.34,4.1918316,4.507473,4.567912,1,GBPRPgrizy/,0000
138832897994588544,1.933331,1.9421595,1.9683509,2.3137066,2.439183,0.4923462,0.49802524,0.5958391,0.740992,0.9191663,0.97482604,1.031011,1.0694807,5851.9155,6019.1367,6246.5576,4.218157,4.3083415,4.3263884,1,GBPRPgrizy/JHKsW1W2,0000
138834268087985920,2.06942,2.2844932,2.5787714,2.639004,2.9790661,0.98167306,1.0568236,1.1230414,1.1493158,1.3278133,0.9258587,0.9294991,1.0913202,5563.7573,5662.1016,5719.0156,3.8915796,3.9064212,4.1447177,0.9526367,GBPRPgrizy/JHKs,0000
138835608117828736,2.3320296,2.335784,2.4050705,3.070839,4.0977354,0.8880411,0.92097086,0.9272259,1.161624,1.2827921,0.7581187,0.7669692,1.0235653,5749.1655,5769.1333,6142.185,4.4491215,4.527,4.527,0.99902344,GBPRPgrizy/JW1W2,0000
138837497903569920,2.1347358,2.5165658,3.0215528,4.831442,5.1462126,0.3546915,0.6629898,0.72755194,0.9853251,0.996932,0.75465375,0.8837571,0.951517,5650.912,5755.174,6031.8047,4.1409597,4.5202036,4.5725045,0.90625,GBPRPgrizy/JW1W2,0000
138843717018461568,0.9056196,0.98623204,1.0834564,1.1068242,1.1308515,0.41570362,0.6127265,0.7148026,0.7255614,0.7294847,0.6,0.65,0.65,4139.1543,4172.7627,4176.683,4.6532125,4.655514,4.6878037,0.99560547,GBPRPgrizy/,0001
137333370292256000,1.6187752,1.8249818,2.2417407,2.5641115,2.6719491,0.25312647,0.3665736,0.49924415,0.7422127,0.7655204,0.6617648,0.77354103,0.8031642,5123.726,5288.388,5585.5796,4.5282054,4.611537,4.6680765,0.9995117,GBPRPgrizy/J,0000
137339074009308288,1.2617921,1.3102305,1.3985033,1.452636,1.514735,0.08830532,0.11989167,0.2981407,0.41363508,0.5460997,1.0698696,1.1854807,1.3316715,4163.084,4242.38,4334.0996,1.6920612,1.728414,1.8056952,1,GBPRPJHKsW1W2,0000
137339211447776384,3.3607712,3.4481084,4.266478,4.921719,5.6533704,0.10060472,0.10901527,0.27188456,0.48199984,0.58543915,0.78626573,0.9031883,1.0957369,5770.3413,5980.4062,6308.0938,4.3679433,4.4143066,4.490893,0.9995117,GBPRPgrizy/JW1W2,0000
137341444830749184,1.2482107,1.3803309,1.4192531,1.5594848,1.7517349,0.28029606,0.3937285,0.6141207,0.6609735,0.7172499,0.7370801,0.76119107,0.84688044,5214.6357,5440.2705,5467.2803,4.5210404,4.5803185,4.603691,1,GBPRPgrizy/JHKs,0000
137341479190484864,1.6837654,1.9446634,2.1283762,2.7502565,2.7891977,0.11987759,0.32107115,0.44271678,0.6152811,0.6283261,0.78886044,0.8590629,0.89058,5491.737,5639.869,5846.715,4.363669,4.5539937,4.6081853,0.9995117,GBPRPgrizy/JHKsW1W2,0000
137346457057536768,1.7500509,1.7504338,1.827409,1.9416329,1.9494655,0.31624362,0.55401206,0.82519746,0.9853672,0.9982386,0.75,0.75677234,0.798,4695.6963,4848.9634,5020.0015,4.5642867,4.597268,4.606556,0.99902344,GBPRPgrizy/JHKs,0000
137349759887352448,0.6425444,0.6430328,0.6644809,0.68301314,0.69510597,0.55791944,0.5618932,0.6393155,0.7145843,0.7211876,0.75,0.75,0.7678263,4477.0454,4519.49,4571.19,4.618,4.6242914,4.640069,1,GBPRPgrizy/JHKsW1W2,0000
137349931686047616,0.15547666,0.15635295,0.1596315,0.15972506,0.15974882,0.0070380755,0.03350654,0.1068144,0.26114708,0.30340615,0.35,0.43050304,0.45,3445.879,3455.7378,3571.426,4.659,4.769636,4.817125,1,GBPRPgrzy/JHKsW1W2,1000
137351168636716672,1.3050045,1.3578862,1.4526391,1.6488059,1.7280601,0.2715718,0.3732702,0.5248137,0.6245898,0.64034444,0.8287899,0.88316983,0.9663173,5336.6465,5516.715,5639.907,4.460404,4.522515,4.551121,1,GBPRPgrizy/JHKsW1W2,0000
137351198701429888,0.9514351,0.9961919,1.0681697,1.10494,1.2150594,0.38941583,0.5529758,0.64024055,0.66898376,0.8197339,0.672,0.75,0.75,4887.649,4936.643,4950.713,4.5927114,4.616,4.6296315,1,GBPRPgrizy/JHKsW1W2,0000
137353505098910464,1.4498193,1.4591107,1.6637402,1.7157632,1.7526253,0.32753628,0.4038682,0.48732692,0.5998717,0.68249965,0.937,0.9562328,1.0983146,5064.0737,5137.599,5249.283,3.5605068,3.5933268,3.7471461,1,GBPRPgzy/JHKsW1W2,0000
137354157933932160,1.3062713,1.4085299,1.5953752,1.6936505,2.17568,0.4110227,0.47123766,0.677446,0.91136295,0.98242897,0.70891476,0.7912181,0.848,4819.186,4967.661,5205.46,4.5394998,4.606218,4.647182,0.9995117,GBPRPgrizy/JHKsW1W2,0000
137354467171579520,1.5896555,1.6824589,1.7498013,1.8585488,1.9247465,0.33833772,0.43084708,0.5730504,0.675145,0.7317411,0.84551615,0.96511567,1.0641477,5945.8,6122.1855,6275.6973,4.118078,4.1935053,4.2463717,1,GBPRPgrizy/JHKsW1W2,0000
137355738481827328,2.2077088,2.3921244,2.7421079,3.1143875,3.529518,0.3166242,0.37155458,0.41403833,0.58242315,0.68361366,0.87589115,1.0172057,1.0967249,5904.047,5952.9375,6226.5103,4.2398834,4.376658,4.462151,0.9975586,GBPRPgrizy/JHKs,0000
137357181590832000,2.1078053,2.3461163,2.9135997,3.5325074,4.1408143,0.38333905,0.43761867,0.5692327,0.748258,0.81153995,0.94655955,1.0029252,1.1488225,5716.2524,5840.4863,6067.7744,4.034285,4.223561,4.4238567,0.98779297,GBPRPgrizy/JHKsW1W2,0000
137357559547953408,2.1999946,2.2930636,2.482826,2.693825,3.0665221,0.17198995,0.19145446,0.35469708,0.53153664,0.6322934,1.0409583,1.0673698,1.2115294,5773.767,5950.6104,6219.378,4.0863247,4.200468,4.2567635,0.9926758,GBPRPgrizy/JHKsW1W2,0000
137359208815391616,0.9897291,1.014149,1.0763507,1.155237,1.1854553,0.47006685,0.62653375,0.6493864,0.7806672,0.827125,0.73239344,0.80012596,0.8329234,4818.9604,4885.7324,4973.8296,4.571465,4.6,4.618,1,GBPRPgrizy/JHKsW1W2,0000
138757748951117568,1.4420433,1.558686,1.914955,2.358028,2.6502714,0.631075,0.73994744,0.87948775,1.0257626,1.0737611,0.7648376,0.8904845,0.9449192,5635.5635,5808.053,6008.8696,4.3076906,4.457008,4.563242,0.9970703,GBPRPgrizy/JHKs,0000
138763147725379584,1.4558868,1.5928259,1.8160119,2.1388671,3.0863197,0.6795171,0.7578011,0.92548597,0.97579056,1.0556295,0.8429721,0.9969843,1.098022,5601.012,5741.5977,5838.183,4.340549,4.429987,4.511987,0.2902832,GBPRPgrizy/JHKs,0000
138764277301435648,2.1070373,2.269115,2.7071693,3.4784434,3.9065084,0.46492434,0.5640459,0.7468402,0.91663533,1.0498979,0.77985543,0.8953495,0.9698928,5346.97,5571.583,5735.6377,4.394837,4.5291867,4.5804744,0.9946289,GBPRPgrizy/JHKsW1W2,0000
138764586539089664,2.3043747,2.5657904,2.9899712,3.464908,5.722256,0.4433167,0.518334,0.6950737,0.8119022,0.82516694,0.7663861,0.85580426,0.92811304,5555.259,5820.6353,5869.938,4.4363194,4.495352,4.5438976,0.9794922,GBPRPgrizy/J,0000
138764693913597184,1.3975984,1.4541719,1.4678493,3.2374418,3.5153372,0.77301514,0.8501362,1.0034344,1.0342987,1.1550683,0.8389785,0.84686047,0.888,5295.8223,5446.0845,5532.659,3.8115091,4.5382295,4.5602174,1,GBPRPgrizy/JHKsW1W2,0000
138766308821289472,0.87756544,0.8811238,0.9035728,0.9877607,1.1034982,0.51537794,0.5280623,0.5698985,0.8468082,1.0690274,0.69718176,0.70416975,0.799,4658,4701.1953,4875.5615,4.602388,4.621893,4.6250415,1,GBPRPgrizy/JHKsW1W2,0000
